"url","Title","Place","DescSnip","Photo","Photo_alt","AllData","SubVals","SubTitles","Status","LinkURLs","LinkURLs_link"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/","431 E South St","Kalamazoo, Michigan","Up to 5,146 SF of commercial space available in the heart of Downtown Kalamazoo's Entertainment District. Unique 'Church Style' architecture...","http://x.lnimg.com/photo/thumb_288/edc01061f02e4e8cb29f20f55d71a603.jpg","431 E South St","431 E South St
Kalamazoo, Michigan
Up to 5,146 SF of commercial space available in the heart of Downtown Kalamazoo's Entertainment District. Unique 'Church Style' architecture...
 
 Status:
No. Spaces:
Rental Rate:
Space Available:
Bldg. Size:
Primary Type:
Sub-Type: 
 
Active
2
$11.50
2,573 - 5,146 SF
5,146 SF
Retail
Free Standing Bldg","Active
2
$11.50
2,573 - 5,146 SF
5,146 SF
Retail
Free Standing Bldg","Status:
No. Spaces:
Rental Rate:
Space Available:
Bldg. Size:
Primary Type:
Sub-Type:","Active","431 E South St","http://www.loopnet.com/Listing/20148715/431-E-South-St-Kalamazoo-MI/"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/","157 S Kalamazoo Mall","Kalamazoo, Michigan","Mall Plaza downtown Kalamazoo. Multi Use Building in the most desirable location downtown. Private parking spaces available in the building.","http://x.lnimg.com/photo/thumb_288/edc010612fcd47cb90ca6703ed73ea58.jpg","157 S Kalamazoo Mall","157 S Kalamazoo Mall
Kalamazoo, Michigan
Mall Plaza downtown Kalamazoo. Multi Use Building in the most desirable location downtown. Private parking spaces available in the building.
 
 Status:
No. Spaces:
Rental Rate:
Space Available:
Bldg. Size:
Primary Type:
Sub-Type: 
 
Active
3
$8.00 - $22.00
1,180 - 1,500 SF
52,000 SF
Retail
Street Retail","Active
3
$8.00 - $22.00
1,180 - 1,500 SF
52,000 SF
Retail
Street Retail","Status:
No. Spaces:
Rental Rate:
Space Available:
Bldg. Size:
Primary Type:
Sub-Type:","Active","157 S Kalamazoo Mall","http://www.loopnet.com/Listing/20203882/157-S-Kalamazoo-Mall-Kalamazoo-MI/"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/","4798 Campus Drive","Kalamazoo, Michigan","AVAILABLE FOR LEASE Class A, LEED-certified building on Kalamazoo' s west side. 1,778 SF office suite available Landlord will finish to...","http://x.lnimg.com/photo/thumb_288/60f000fcccc24e63bcee6234c286a87c.jpg","4798 Campus Drive","4798 Campus Drive
Kalamazoo, Michigan
AVAILABLE FOR LEASE Class A, LEED-certified building on Kalamazoo' s west side. 1,778 SF office suite available Landlord will finish to...
 
 Status:
No. Spaces:
Rental Rate:
Space Available:
Bldg. Size:
Primary Type:
Sub-Type: 
 
Active
2
$15.50
1,778 - 5,457 SF
10,797 SF
Office
Office Building","Active
2
$15.50
1,778 - 5,457 SF
10,797 SF
Office
Office Building","Status:
No. Spaces:
Rental Rate:
Space Available:
Bldg. Size:
Primary Type:
Sub-Type:","Active","4798 Campus Drive","http://www.loopnet.com/Listing/20183637/4798-Campus-Drive-Kalamazoo-MI/"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/","825 Portage Street","Kalamazoo, Michigan","REDEVELOPMENT OPPORTUNITY Highly visible, 1.375-acre site located just south of downtown Kalamazoo. Situated on the busy, lighted SE corner of...","http://x.lnimg.com/photo/thumb_288/35d0a27586154aaea2d9b613c5a6fc84.jpg","825 Portage Street","825 Portage Street
Kalamazoo, Michigan
REDEVELOPMENT OPPORTUNITY Highly visible, 1.375-acre site located just south of downtown Kalamazoo. Situated on the busy, lighted SE corner of...
 
 Status:
Price:
Lot Size:
Primary Type:
Sub-Type: 
 
Active
$387,000
1.38 Acres
Land
Retail (land)","Active
$387,000
1.38 Acres
Land
Retail (land)","Status:
Price:
Lot Size:
Primary Type:
Sub-Type:","Active","825 Portage Street","http://www.loopnet.com/Listing/20175145/825-Portage-Street-Kalamazoo-MI/"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/","3330 Stadium Drive","Kalamazoo, Michigan","Stadium Shoppes is a busy retail center with an excellent tenant mix. This center offers ample parking and prominent building and pylon signage...","http://x.lnimg.com/photo/thumb_288/a07e45cb9c014924b8103f7c8196c4b0.jpg","3330 Stadium Drive","3330 Stadium Drive
Kalamazoo, Michigan
Stadium Shoppes is a busy retail center with an excellent tenant mix. This center offers ample parking and prominent building and pylon signage...
 
 Status:
No. Spaces:
Rental Rate:
Space Available:
Bldg. Size:
Primary Type:
Sub-Type: 
 
Active
2
$18.00
1,701 - 1,753 SF
46,393 SF
Retail
Strip Center","Active
2
$18.00
1,701 - 1,753 SF
46,393 SF
Retail
Strip Center","Status:
No. Spaces:
Rental Rate:
Space Available:
Bldg. Size:
Primary Type:
Sub-Type:","Active","3330 Stadium Drive","http://www.loopnet.com/Listing/18986849/3330-Stadium-Drive-Kalamazoo-MI/"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/","1986 Sprinkle Road","Kalamazoo, Michigan","AVAILABLE FOR SALE Approx. 6,508 SF industrial building on 0.67-acre parcel on the busy Sprinkle Road/I-94 Business Loop commercial corridor in...","http://x.lnimg.com/photo/thumb_288/103bf1ee7a234bc19c3a95400fbc1699.jpg","1986 Sprinkle Road","1986 Sprinkle Road
Kalamazoo, Michigan
AVAILABLE FOR SALE Approx. 6,508 SF industrial building on 0.67-acre parcel on the busy Sprinkle Road/I-94 Business Loop commercial corridor in...
 
 Status:
Price:
Bldg. Size:
Cap Rate:
Primary Type:
Sub-Type: 
 
Active
$269,000
6,508 SF
N/A
Industrial
Office Showroom","Active
$269,000
6,508 SF
N/A
Industrial
Office Showroom","Status:
Price:
Bldg. Size:
Cap Rate:
Primary Type:
Sub-Type:","Active","1986 Sprinkle Road","http://www.loopnet.com/Listing/20137751/1986-Sprinkle-Road-Kalamazoo-MI/"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/","VL Beatrice Dr","Kalamazoo, Michigan","Vacant land sites now available for purchase in the highly desirable Corporate Woods office service/industrial development located just off...","http://x.lnimg.com/photo/thumb_288/b5d2baf524524847b2ca2713a2b423c2.jpg","VL Beatrice Dr","VL Beatrice Dr
Kalamazoo, Michigan
Vacant land sites now available for purchase in the highly desirable Corporate Woods office service/industrial development located just off...
 
 Status:
Price:
Lot Size:
Primary Type:
Sub-Type: 
 
Active
$2,827,500
37.70 Acres
Land
Commercial/Other (land)","Active
$2,827,500
37.70 Acres
Land
Commercial/Other (land)","Status:
Price:
Lot Size:
Primary Type:
Sub-Type:","Active","VL Beatrice Dr","http://www.loopnet.com/Listing/20135332/VL-Beatrice-Dr-Kalamazoo-MI/"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/","2504 S Sprinkle Rd","Kalamazoo, Michigan","AVAILABLE FOR LEASE Approx. 3,500 SF retail suite on Sprinkle Road in Kalamazoo. Landlord will build-to-suit for Tenant, which may include...","http://x.lnimg.com/photo/thumb_288/9c71093f0ac54f55905a29cf0e59b8dc.jpg","2504 S Sprinkle Rd","2504 S Sprinkle Rd
Kalamazoo, Michigan
AVAILABLE FOR LEASE Approx. 3,500 SF retail suite on Sprinkle Road in Kalamazoo. Landlord will build-to-suit for Tenant, which may include...
 
 Status:
No. Spaces:
Rental Rate:
Space Available:
Bldg. Size:
Primary Type:
Sub-Type: 
 
Active
1
$10.00
3,500 SF
11,952 SF
Retail
Free Standing Bldg","Active
1
$10.00
3,500 SF
11,952 SF
Retail
Free Standing Bldg","Status:
No. Spaces:
Rental Rate:
Space Available:
Bldg. Size:
Primary Type:
Sub-Type:","Active","2504 S Sprinkle Rd","http://www.loopnet.com/Listing/20128045/2504-S-Sprinkle-Rd-Kalamazoo-MI/"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/","7234 Bentwood Trail","Kalamazoo, Michigan","Spectacular lake lot on Crooked Lake Texas Township. Lot is surrounded by homes valued over $1 million dollars. Lot is located in the beautiful...","http://x.lnimg.com/photo/thumb_288/298156ccdda2451cae937aa7a6b0b885.jpg","7234 Bentwood Trail","7234 Bentwood Trail
Kalamazoo, Michigan
Spectacular lake lot on Crooked Lake Texas Township. Lot is surrounded by homes valued over $1 million dollars. Lot is located in the beautiful...
 
 Status:
Price:
Lot Size:
Primary Type:
Sub-Type: 
 
Active
$320,000
0.60 Acres
Land
Residential (land)","Active
$320,000
0.60 Acres
Land
Residential (land)","Status:
Price:
Lot Size:
Primary Type:
Sub-Type:","Active","7234 Bentwood Trail","http://www.loopnet.com/Listing/20111922/7234-Bentwood-Trail-Kalamazoo-MI/"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/","3000 S 11th St","Kalamazoo, Michigan","2 acres located just off US-131. Currently a Residence that could be modified for office use with a charming carriage house in back. Many...","http://x.lnimg.com/photo/thumb_288/edc01061470a487e8e71cbc34dd3c92b.jpg","3000 S 11th St","3000 S 11th St
Kalamazoo, Michigan
2 acres located just off US-131. Currently a Residence that could be modified for office use with a charming carriage house in back. Many...
 
 Status:
Price:
Bldg. Size:
Cap Rate:
Primary Type:
Sub-Type: 
 
Active
$269,900
1,500 SF
N/A
Office
Office Building","Active
$269,900
1,500 SF
N/A
Office
Office Building","Status:
Price:
Bldg. Size:
Cap Rate:
Primary Type:
Sub-Type:","Active","3000 S 11th St","http://www.loopnet.com/Listing/20111916/3000-S-11th-St-Kalamazoo-MI/"
