Address,City,State,ZIP,Desc,Detail,Price Num,Num Photos Text,Num Photos,Photo URL,Pg Number
302 Solon St,Kalamazoo,MI,49006,House For Sale,"$145,0003 bds · 1 ba · 1,204 sqft; 222 days on Zillow·302 Solon St, Kalamazoo, MI",1450003,,,https://photos.zillowstatic.com/p_e/ISme9bl9sllc510000000000.jpg,1
2529 Chaparral St,Kalamazoo,MI,49006,House For Sale,"$149,9004 bds · 2 ba · 1,755 sqft; 2 days on Zillow·2529 Chaparral St, Kalamazoo, MI; Chuck Jaqua, REALTOR, Inc.",1499004,33 photos,33,https://photos.zillowstatic.com/p_e/ISu86zzohacdvo0000000000.jpg,1
838 Staples Ave,Kalamazoo,MI,49007,Auction,"3 bds · 1 ba · -- sqft; 1 day on Zillow·838 Staples Ave, Kalamazoo, MI",,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.299000,-85.597000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",1
Staples Ave,Kalamazoo,MI,49007,Foreclosure,"-- bds · -- ba · -- sqft; 459 days on Zillow·Staples Ave, Kalamazoo, MI",,,,"https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/42.299000,-85.597000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",1
1229 Richland Ave,Kalamazoo,MI,49006,House For Sale,"$124,9003 bds · 1 ba · 920 sqft; Open: Thu. 12-2pm·1229 Richland Ave, Kalamazoo, MI; RE/MAX Advantage",1249003,13 photos,13,https://photos.zillowstatic.com/p_e/ISm2oyn2lv29500000000000.jpg,1
317 Whitcomb St,Kalamazoo,MI,49001,House For Sale,"$119,9003 bds · 1 ba · 1,291 sqft; 1 day on Zillow·317 Whitcomb St, Kalamazoo, MI",1199003,16 photos,16,https://photos.zillowstatic.com/p_e/ISqhi3pxepyf7u1000000000.jpg,1
3617 Grace Rd,Kalamazoo,MI,49006,House For Sale,"$148,3294 bds · 2 ba · 1,940 sqft; 1 day on Zillow·3617 Grace Rd, Kalamazoo, MI; Jaqua REALTORS",1483294,18 photos,18,https://photos.zillowstatic.com/p_e/IS66gqdzpuj7ob0000000000.jpg,1
4003 Nichols Rd,Kalamazoo,MI,49004,House For Sale,"$160,0003 bds · 1 ba · 1,816 sqft; 3 days on Zillow·4003 Nichols Rd, Kalamazoo, MI; Jaqua REALTORS",1600003,15 photos,15,https://photos.zillowstatic.com/p_e/ISa526524uui6c1000000000.jpg,1
2975 Carsten Ave,Kalamazoo,MI,49004,House For Sale,"$144,9003 bds · 2 ba · 1,554 sqft; 2 days on Zillow·2975 Carsten Ave, Kalamazoo, MI",1449003,19 photos,19,https://photos.zillowstatic.com/p_e/ISqpgju5l1hyll1000000000.jpg,1
1608 Reed Ave,Kalamazoo,MI,49001,House For Sale,"$44,9003 bds · 1 ba · 816 sqft; 1 day on Zillow·1608 Reed Ave, Kalamazoo, MI; CENTURY 21 C. Howard",449003,12 photos,12,https://photos.zillowstatic.com/p_e/ISukjxskf3x0280000000000.jpg,1
