Tilelink,LinkURL,Desc,Price Num,Details,Address,NeighbCityState
"New
$199,900
3bd
2ba
1,702 sqft
8021 Talaria Ter",https://www.trulia.com/property/3029683747-8021-Talaria-Ter-Kalamazoo-MI-49009,New; New,"$199,900 ","3bd; 2ba; 1,702 sqft",8021 Talaria Ter,"Kalamazoo, MI"
"New
$350,000
5bd
4ba
2,500 sqft
7989 Saint James Ave",https://www.trulia.com/property/3023851178-7989-Saint-James-Ave-Kalamazoo-MI-49009,New; New,"$350,000 ","5bd; 4ba; 2,500 sqft",7989 Saint James Ave,"Kalamazoo, MI"
"$44,900
3bd
1ba
816 sqft
1608 Reed St",https://www.trulia.com/property/3228060607-1608-Reed-St-Kalamazoo-MI-49001,,"$44,900 ",3bd; 1ba; 816 sqft,1608 Reed St,"Edison, Kalamazoo, MI"
"New
$144,900
3bd
2ba
1,554 sqft
2975 Carsten Ave",https://www.trulia.com/property/3262468882-2975-Carsten-Ave-Kalamazoo-MI-49004,New; New,"$144,900 ","3bd; 2ba; 1,554 sqft",2975 Carsten Ave,"Kalamazoo, MI"
"New
$75,000
2bd
1ba
1,313 sqft
2414 Stevens Ave",https://www.trulia.com/property/3262499908-2414-Stevens-Ave-Kalamazoo-MI-49008,New; New,"$75,000 ","2bd; 1ba; 1,313 sqft",2414 Stevens Ave,"Oakwood, Kalamazoo, MI"
"New
$254,900
3bd
2ba
1,844 sqft
229 Woodward Ave",https://www.trulia.com/property/3262518447-229-Woodward-Ave-Kalamazoo-MI-49007,New; New,"$254,900 ","3bd; 2ba; 1,844 sqft",229 Woodward Ave,"Sloan, Kalamazoo, MI"
"New
Pending
$165,000
3bd
2ba
1,616 sqft
1405 Hillcrest Ave",https://www.trulia.com/property/3262537466-1405-Hillcrest-Ave-Kalamazoo-MI-49008,"New
Pending; New
Pending; New
Pending","$165,000 ","3bd; 2ba; 1,616 sqft",1405 Hillcrest Ave,"Oakland-Winchell, Kalamazoo, MI"
"$99,930
3bd
2ba
1,430 sqft
5584 E Main St",https://www.trulia.com/property/3261758940-5584-E-Main-St-Kalamazoo-MI-49048,,"$99,930 ","3bd; 2ba; 1,430 sqft",5584 E Main St,"Kalamazoo, MI"
"New
$149,900
4bd
2ba
1,755 sqft
2529 Chaparral St",https://www.trulia.com/property/3262468450-2529-Chaparral-St-Kalamazoo-MI-49006,New; New; New,"$149,900 ","4bd; 2ba; 1,755 sqft",2529 Chaparral St,"Westwood (East), Kalamazoo, MI"
"New
$235,000
4bd
3ba
2,980 sqft
6938 Cade Ave",https://www.trulia.com/property/3042396263-6938-Cade-Ave-Kalamazoo-MI-49048,New; New; New,"$235,000 ","4bd; 3ba; 2,980 sqft",6938 Cade Ave,"Kalamazoo, MI"
"New
$148,329
4bd
2ba
1,940 sqft
3617 Grace Rd",https://www.trulia.com/property/3005816808-3617-Grace-Rd-Kalamazoo-MI-49006,New; New; New,"$148,329 ","4bd; 2ba; 1,940 sqft",3617 Grace Rd,"Westwood (East), Kalamazoo, MI"
"New
$119,900
3bd
1ba
1,291 sqft
317 Whitcomb St",https://www.trulia.com/property/3054148458-317-Whitcomb-St-Kalamazoo-MI-49001,New; New; New,"$119,900 ","3bd; 1ba; 1,291 sqft",317 Whitcomb St,"Westnedge Hill, Kalamazoo, MI"
"New
$469,000
5bd
4ba
4,364 sqft
209 Summerset Dr",https://www.trulia.com/property/3262558090-209-Summerset-Dr-Kalamazoo-MI-49009,New; New; New,"$469,000 ","5bd; 4ba; 4,364 sqft",209 Summerset Dr,"Kalamazoo, MI"
"New
$295,000
3bd
3ba
2,950 sqft
4616 Carver Dr",https://www.trulia.com/property/3262558509-4616-Carver-Dr-Kalamazoo-MI-49009,New; New; New,"$295,000 ","3bd; 3ba; 2,950 sqft",4616 Carver Dr,"Kalamazoo, MI"
"$285,900
6bd
4ba
4003 Sunvalley Dr",https://www.trulia.com/property/3255806412-4003-Sunvalley-Dr-Kalamazoo-MI-49008,,"$285,900 ",6bd; 4ba,4003 Sunvalley Dr,"Oakwood, Kalamazoo, MI"
"New
$399,900
4bd
4ba
5043 Autumn Glen",https://www.trulia.com/property/3262565948-5043-Autumn-Glen-Kalamazoo-MI-49009,New; New; New,"$399,900 ",4bd; 4ba,5043 Autumn Glen,"Kalamazoo, MI"
"New
$189,900
4bd
3ba
2,350 sqft
6826 Springbrook Ln",https://www.trulia.com/property/3262562508-6826-Springbrook-Ln-Kalamazoo-MI-49004,New; New; New,"$189,900 ","4bd; 3ba; 2,350 sqft",6826 Springbrook Ln,"Kalamazoo, MI"
"New
$94,900
3bd
3ba
1,545 sqft
528 W Dutton St",https://www.trulia.com/property/3262560692-528-W-Dutton-St-Kalamazoo-MI-49007,New; New; New,"$94,900 ","3bd; 3ba; 1,545 sqft",528 W Dutton St,"Vine, Kalamazoo, MI"
"$142,500
3bd
2ba
2,422 sqft
913 Duckett Dr",https://www.trulia.com/property/3261345348-913-Duckett-Dr-Kalamazoo-MI-49001,,"$142,500 ","3bd; 2ba; 2,422 sqft",913 Duckett Dr,"Kalamazoo, MI"
"New
$254,900
3bd
2ba
1,844 sqft
229 Woodward Ave",https://www.trulia.com/property/3262522824-229-Woodward-Ave-Kalamazoo-MI-49007,New; New; New,"$254,900 ","3bd; 2ba; 1,844 sqft",229 Woodward Ave,"Sloan, Kalamazoo, MI"
"New
$65,000
3bd
1ba
1,257 sqft
1613 W North St",https://www.trulia.com/property/3262562504-1613-W-North-St-Kalamazoo-MI-49006,New; New; New,"$65,000 ","3bd; 1ba; 1,257 sqft",1613 W North St,"West Douglas, Kalamazoo, MI"
"New
$149,900
3bd
1ba
1,347 sqft
3097 S 11th St",https://www.trulia.com/property/3262563133-3097-S-11th-St-Kalamazoo-MI-49009,New; New; New,"$149,900 ","3bd; 1ba; 1,347 sqft",3097 S 11th St,"Kalamazoo, MI"
"New
$104,900
3bd
1ba
1,716 sqft
4227 Mount Olivet Rd",https://www.trulia.com/property/3262565892-4227-Mount-Olivet-Rd-Kalamazoo-MI-49004,New; New; New,"$104,900 ","3bd; 1ba; 1,716 sqft",4227 Mount Olivet Rd,"Burke Acres, Kalamazoo, MI"
"New
$205,000
3bd
3ba
2,592 sqft
1750 Rock Valley Dr",https://www.trulia.com/property/3262565931-1750-Rock-Valley-Dr-Kalamazoo-MI-49006,New; New; New,"$205,000 ","3bd; 3ba; 2,592 sqft",1750 Rock Valley Dr,"Westwood (East), Kalamazoo, MI"
"New
$72,900
2bd
1ba
852 sqft
3233 Mulhearn Ave",https://www.trulia.com/property/3262565752-3233-Mulhearn-Ave-Kalamazoo-MI-49048,New; New; New,"$72,900 ",2bd; 1ba; 852 sqft,3233 Mulhearn Ave,"Eastwood, Kalamazoo, MI"
"For Sale By Owner
$124,900
4bd
3ba
2,400 sqft
3424 Market St",https://www.trulia.com/property/3261997259-3424-Market-St-Kalamazoo-MI-49048,For Sale By Owner; For Sale By Owner; For Sale By Owner,"$124,900 ","4bd; 3ba; 2,400 sqft",3424 Market St,"Kalamazoo, MI"
"$25,999
3bd
2ba
1,782 sqft
6166 Ascot Ct",https://www.trulia.com/property/3262240818-6166-Ascot-Ct-Kalamazoo-MI-49009,,"$25,999 ","3bd; 2ba; 1,782 sqft",6166 Ascot Ct,"Kalamazoo, MI"
"$114,900
3bd
2ba
2,000 sqft
5029 Warbler Way",https://www.trulia.com/property/3261941310-5029-Warbler-Way-Kalamazoo-MI-49009,,"$114,900 ","3bd; 2ba; 2,000 sqft",5029 Warbler Way,"Kalamazoo, MI"
"Pending
$80,000
3bd
1ba
1,224 sqft
1209 Cambridge Dr",https://www.trulia.com/property/3262152549-1209-Cambridge-Dr-Kalamazoo-MI-49001,Pending; Pending; Pending,"$80,000 ","3bd; 1ba; 1,224 sqft",1209 Cambridge Dr,"Millwood, Kalamazoo, MI"
"$18,900
4bd
2ba
1,662 sqft
928 Linton St",https://www.trulia.com/property/3190150227-928-Linton-St-Kalamazoo-MI-49001,,"$18,900 ","4bd; 2ba; 1,662 sqft",928 Linton St,"Edison, Kalamazoo, MI"
"$13,900
4bd
2ba
1,578 sqft
1424 Charles Ave",https://www.trulia.com/property/3262261109-1424-Charles-Ave-Kalamazoo-MI-49048,,"$13,900 ","4bd; 2ba; 1,578 sqft",1424 Charles Ave,"Eastside, Kalamazoo, MI"
"$252,500
3bd
3ba
3,453 sqft
6636 Annandale Dr",https://www.trulia.com/property/3261877929-6636-Annandale-Dr-Kalamazoo-MI-49009,,"$252,500 ","3bd; 3ba; 3,453 sqft",6636 Annandale Dr,"Kalamazoo, MI"
"$135,000
5bd
2ba
1,765 sqft
2421 W Main St",https://www.trulia.com/property/1074377509-2421-W-Main-St-Kalamazoo-MI-49006,,"$135,000 ","5bd; 2ba; 1,765 sqft",2421 W Main St,"Westwood (East), Kalamazoo, MI"
"New
$128,900
3bd
2ba
1,828 sqft
910 Westmoreland Ave",https://www.trulia.com/property/3262351739-910-Westmoreland-Ave-Kalamazoo-MI-49006,New; New,"$128,900 ","3bd; 2ba; 1,828 sqft",910 Westmoreland Ave,"Arcadia, Kalamazoo, MI"
"New
$124,900
2bd
2ba
1,485 sqft
2402 Fairgrove St",https://www.trulia.com/property/3262393331-2402-Fairgrove-St-Kalamazoo-MI-49009,New; New,"$124,900 ","2bd; 2ba; 1,485 sqft",2402 Fairgrove St,"Kalamazoo, MI"
"Pending
$225,000
4bd
3ba
2,656 sqft
2020 Partridge Ln",https://www.trulia.com/property/3146113360-2020-Partridge-Ln-Kalamazoo-MI-49009,Pending; Pending,"$225,000 ","4bd; 3ba; 2,656 sqft",2020 Partridge Ln,"Kalamazoo, MI"
"For Sale By Owner
$175,000
4bd
2ba
2,100 sqft
708 Piccadilly Rd",https://www.trulia.com/property/3262113950-708-Piccadilly-Rd-Kalamazoo-MI-49006,For Sale By Owner; For Sale By Owner; For Sale By Owner,"$175,000 ","4bd; 2ba; 2,100 sqft",708 Piccadilly Rd,"Westwood, Kalamazoo, MI"
"Pending
$38,000
2bd
1ba
838 sqft
1205 Wayside Rd",https://www.trulia.com/property/3262109414-1205-Wayside-Rd-Kalamazoo-MI-49048,Pending; Pending; Pending,"$38,000 ",2bd; 1ba; 838 sqft,1205 Wayside Rd,"Eastwood, Kalamazoo, MI"
"Pending
$79,900
3bd
1ba
1,042 sqft
1401 Palmer Ave",https://www.trulia.com/property/3262067315-1401-Palmer-Ave-Kalamazoo-MI-49001,Pending; Pending; Pending,"$79,900 ","3bd; 1ba; 1,042 sqft",1401 Palmer Ave,"Edison, Kalamazoo, MI"
"$49,900
4bd
1ba
1,212 sqft
2149 Luella St",https://www.trulia.com/property/3051080348-2149-Luella-St-Kalamazoo-MI-49001,,"$49,900 ","4bd; 1ba; 1,212 sqft",2149 Luella St,"Millwood, Kalamazoo, MI"
"Pending
$200,000
4bd
3ba
3,184 sqft
5980 S 30th St",https://www.trulia.com/property/42525004-5980-S-30th-St-Kalamazoo-MI-49048,Pending; Pending; Pending,"$200,000 ","4bd; 3ba; 3,184 sqft",5980 S 30th St,"Kalamazoo, MI"
